"beer_id","tag_id"
"2,986",677
"2,342",842
"4,029",97
428,306
"3,838",626
783,158
"2,269",485
"3,147",208
"1,088",625
49,2
"2,289",148
"2,815",559
963,158
"1,014",161
741,230
"1,025",291
"3,226",163
"2,892",461
"2,885",352
"3,549",3
"3,876","1,032"
"4,114",849
"1,270",117
"3,434",130
"1,008",608
"2,573",824
"3,667",412
738,311
"3,401",639
996,84
"2,839",39
1,2
"3,355",313
"1,138",352
725,301
"2,342",845
"3,473",620
"3,422",352
"1,009",604
"4,041",329
"1,114",84
"1,477",300
"2,771",183
"3,558","1,011"
"2,136",84
"3,576",447
"1,012",452
"1,117",322
"3,129",641
"2,654",130
"3,780",805
"3,118",956
"3,385",543
"1,324",485
"3,537",2
"1,430",658
"4,146",131
292,312
615,485
"3,166",158
914,183
"2,444",161
314,325
691,349
"3,426",639
"3,128",161
"4,037",155
628,441
667,155
723,264
92,160
"3,894",6
662,130
523,436
607,242
"1,210",130
"1,013",608
"1,010",172
"3,688",84
"3,295",321
"2,957",50
84,148
"1,708",322
"4,270",54
"1,046",273
"1,193",656
"4,563",49
"4,130",620
"2,694",130
"1,155",324
66,161
"3,000",158
"3,136",291
736,301
"2,393",848
463,242
"3,823",305
234,311
"1,460",278
"3,830",84
"2,556",161
"3,452",130
325,161
"1,980",130
725,337
"3,844","1,027"
742,329
188,295
"2,699",773
7,2
"3,149",84
"1,198",331
"2,899",306
"1,582",312
812,545
"2,334",322
"3,873",329
"1,117",378
"1,164",337
"2,914",193
"3,451",719
513,447
"3,740",326
"4,081",362
561,158
"1,905",389
"3,578",632
"4,039",326
"2,670",888
"4,130","1,062"
320,337
"2,034",242
"3,118",952
"4,042",559
"2,914",626
"2,991",158
"1,990",193
194,299
820,541
"2,289",767
"3,578",447
"2,052",581
"4,113",422
"4,153",278
228,313
"3,093",131
"3,021",344
"3,959",278
292,130
"3,445",155
"2,594",642
706,161
"2,088",329
"4,325",183
497,237
26,63
24,71
"1,943",158
555,161
"3,581",748
650,261
"4,376",917
"2,904",625
"2,190",550
"4,475",710
"2,083",158
976,589
"4,390",240
"1,157",325
824,550
"3,050",498
"3,809",84
"2,428",849
"3,243",384
"3,829",461
"1,905",329
"3,154",208
954,270
"3,764",158
"4,013",305
"4,394","1,084"
"3,688",86
"1,465",130
495,396
548,160
"3,426",161
"3,806",908
"3,230",375
912,326
914,305
"3,576",3
738,6
"3,970",50
310,130
700,183
"1,743",755
"3,644",130
690,325
455,161
783,452
"3,995",183
668,461
"3,362",559
"4,042",270
"3,124",84
"1,014",604
"1,468",161
"2,652",312
"1,518",108
310,306
"4,017",656
"4,606",54
"2,839",485
"4,214",930
"1,200",97
"3,828",183
"3,668",161
980,84
"3,230",311
"3,397",172
"3,083",295
"1,406",698
30,3
655,155
"2,700",305
"3,387",54
"2,190",228
"1,114",161
"2,168",185
512,378
"2,158",185
455,130
"1,852",50
330,161
"4,195",299
"3,470",155
"3,344",356
"4,247",399
"2,088",50
"4,049",704
"3,385",399
"2,473",180
"2,289",50
"3,866",230
"2,832",329
96,193
664,130
"2,991",459
691,342
"2,680",301
"2,168",97
"4,313",161
152,246
"2,839",6
"3,972",273
"2,921",183
"3,078",453
796,170
"1,138",270
"2,808",588
32,3
"3,189",39
"3,829",305
"1,905",468
308,161
318,264
661,342
"2,661",259
"4,049",312
"1,614",745
503,360
"1,511",325
"2,054",807
315,326
"2,983",621
626,172
"2,561",449
"3,914",291
"3,564",326
"3,743",130
"2,879",208
72,158
548,130
"3,667",360
"2,913",312
"1,144",84
"4,227",158
41,52
"2,851",841
686,158
"1,200",656
"2,874",378
"3,454",352
"1,005",496
21,51
"3,389",161
820,148
"2,875",731
"1,397",313
"3,578",15
"4,013",346
"2,921",161
"3,982","1,041"
"3,346",652
"3,166",208
621,278
"1,370",148
503,54
"1,863",778
"2,815",658
"3,423","1,000"
306,130
"3,332",303
"2,361",1
"4,225",459
327,336
654,294
838,554
"1,114",2
"2,054",805
"1,270",325
"1,439",321
89,158
"1,050",193
"3,829",511
"2,657",130
"1,430",559
55,49
"3,578",739
"4,204",314
954,331
"2,630",677
"4,259",910
"2,024",563
"2,654",158
416,242
"2,494",311
"2,739",895
"3,727",97
"4,028",158
"3,886",329
"4,225",158
233,179
811,541
"2,819",559
"2,037",632
"3,166",306
"4,170",158
652,242
298,331
"1,156",329
"3,809",461
"4,240",436
657,161
"2,583",881
"3,254",158
"1,995",325
"3,907",434
413,391
"3,107",950
734,301
"2,839",313
"3,670",130
837,180
"2,978",286
332,352
327,305
"3,805",89
628,559
"3,795",89
332,316
"3,101",941
"3,932",434
"1,143",89
"3,420",84
651,441
"1,846",545
"3,858",326
"1,791",54
"1,004",366
"2,839",305
86,161
234,315
"3,480",273
"1,692",485
690,299
"4,570",177
"3,873",270
"2,139",163
"3,876",326
"3,325",865
"4,315","1,020"
"3,932",731
682,161
"1,144",161
421,316
619,482
"2,700",381
845,541
572,472
"3,541",34
"4,052",559
541,172
"4,547",148
"3,437",496
"1,201",1
"3,694",97
"3,548",74
298,329
"3,913",434
"3,223",313
"2,653",605
671,130
"3,795",461
616,481
"1,985",790
"1,143",642
"2,083",161
619,183
565,316
619,63
