"","id","name","price","rating","review_count","city","state","zip_code","latitude","longitude"
"3053","element-brewing-company-millers-falls","Element Brewing Company","$$",4.5,21,"Millers Falls","MA","01349",42.578857,-72.4949573
"3054","brick-and-feather-brewery-montague","Brick & Feather Brewery","$$",4.5,13,"Montague","MA","01376",42.60228217,-72.56434724
"3055","the-foundry-northampton","The Foundry","$$",4,110,"Northampton","MA","01060",42.31993273,-72.6290039
"3056","leftys-brewing-company-greenfield-2","Lefty's Brewing Company","$$",4.5,7,"Greenfield","MA","01301",42.60154343,-72.60641479
"3057","honest-weight-artisian-beer-orange","Honest Weight Artisian Beer","$$",4.5,8,"Orange","MA","01364",42.59160233,-72.31513214
"3058","the-peoples-pint-greenfield","The People's Pint","$$",4,214,"Greenfield","MA","01301",42.58850165,-72.59994552
"3059","high-horse-amherst","High Horse","$$",3,188,"Amherst","MA","01002",42.37629868,-72.51994193
"3060","the-dirty-truth-northampton","The Dirty Truth","$$",3,177,"Northampton","MA","01060",42.32026,-72.62915
"3061","thunderhead-brewing-kearney","Thunderhead Brewing","$$",4,100,"Kearney","NE","68847",40.6967926,-99.08083344
"3062","platte-valley-brewery-kearney-2","Platte Valley Brewery","$$",4,9,"Kearney","NE","68847",40.6953716,-99.0811538
"3063","coppermill-steakhouse-kearney-2","Coppermill Steakhouse","$$",2.5,18,"Kearney","NE","68845",40.6735654,-99.0886586
"3064","able-ebenezer-brewing-company-merrimack","Able Ebenezer Brewing Company","$",4.5,43,"Merrimack","NH","03054",42.8526152,-71.4934299
"3065","pipe-dream-brewing-londonderry","Pipe Dream Brewing","$$",4,25,"Londonderry","NH","03053",42.90866398,-71.42012794
"3066","anheuser-busch-brewery-tour-and-gift-shop-merrimack-2","Anheuser-Busch Brewery Tour & Gift Shop",NA,4.5,55,"Merrimack","NH","03054",42.8221672,-71.4881758
"3067","j-bartletts-public-house-nashua-2","J Bartlett's Public House","$$",4,22,"Nashua","NH","03063",42.7788277,-71.4972687
"3068","great-north-aleworks-manchester","Great North Aleworks","$",4.5,13,"Manchester","NH","03109",42.97782,-71.40171
"3069","603-brewery-londonderry","603 Brewery","$$",4.5,15,"Londonderry","NH","03053",42.91503,-71.36484
"3070","from-the-barrel-londonderry","From The Barrel","$",4.5,11,"Londonderry","NH","03053",42.8757574,-71.3388192
"3071","incredibrew-nashua","Incredibrew","$$",4.5,13,"Nashua","NH","03060",42.72846,-71.44768
"3072","stark-brewing-company-manchester","Stark Brewing Company","$$",3,104,"Manchester","NH","03101",42.994509,-71.467419
"3073","kelsen-brewing-company-derry","Kelsen Brewing Company","$",4.5,5,"Derry","NH","03038",42.88950874,-71.33286578
"3074","rockingham-brewing-company-derry","Rockingham Brewing Company","$",4,8,"Derry","NH","03038",42.88586207,-71.33488432
"3075","the-candia-road-brewing-co-and-nepenthe-ale-house-manchester","The Candia Road Brewing Co. & Nepenthe Ale House","$$",4.5,9,"Manchester","NH","03109",42.98487313,-71.4126087
"3076","the-common-man-merrimack","The Common Man","$$",3.5,172,"Merrimack","NH","03054",42.839739,-71.491565
"3077","white-birch-brewing-hooksett","White Birch Brewing","$$",4.5,11,"Hooksett","NH","03106",43.0588456,-71.4421773
"3078","wachusett-brewing-co-westminster","Wachusett Brewing Co.","$",4,28,"Westminster","MA","01473",42.5586379,-71.8715379
"3079","the-peddlers-daughter-nashua","The Peddler's Daughter","$$",4,162,"Nashua","NH","03064",42.76393,-71.46651
