"atmosphere","fbcount","fbscore","food","id","overall","reviewcount","selection","service"
"4.375","","","3.75","1325","85.000075","2","4.625","3.75"
"5","","","0","3816","100","1","5","5"
"0","","","0","7494","0","0","0","0"
"0","","","0","14741","0","0","0","0"
"0","","","0","11265","0","0","0","0"
"0","","","0","15387","0","0","0","0"
"0","","","0","11554","0","0","0","0"
"0","","","0","18147","0","0","0","0"
"0","","","0","3820","0","0","0","0"
"0","","","0","18487","0","0","0","0"
"0","","","0","18040","0","0","0","0"
"4","","","0","3814","93.3334","1","5","5"
"0","","","0","11267","0","0","0","0"
"0","","","0","18605","0","0","0","0"
"0","","","0","20207","0","0","0","0"
"4.5","","","4.5","6235","90.00005","1","4.75","4.25"
"0","","","0","2999","0","0","0","0"
"2.75","","","2.625","6234","50","2","2.5","2.25"
"0","","","0","13752","0","0","0","0"
"0","","","0","16632","0","0","0","0"
"0","","","0","18156","0","0","0","0"
"0","","","0","20669","0","0","0","0"
"0","","","0","16639","0","0","0","0"
"0","","","0","16625","0","0","0","0"
"0","","","0","18157","0","0","0","0"
"0","","","0","20663","0","0","0","0"
"0","","","0","19801","0","0","0","0"
"0","","","0","16638","0","0","0","0"
"0","","","0","5213","0","0","0","0"
"0","","","0","20665","0","0","0","0"
"0","","","0","16623","0","0","0","0"
"0","","","0","20664","0","0","0","0"
"0","","","0","15232","0","0","0","0"
"0","","","0","20667","0","0","0","0"
"4.25","","","0","359","82.499925","2","3.75","4.375"
"0","","","0","16633","0","0","0","0"
"0","","","0","15231","0","0","0","0"
"4.375","","","3.25","6345","90.00005","2","4.75","4.375"
"0","","","0","18350","0","0","0","0"
"0","","","0","15508","0","0","0","0"
"0","","","0","18273","0","0","0","0"
"4","","","3.75","606","75.83335","2","3.875","3.5"
"0","","","0","11364","0","0","0","0"
"0","","","0","14705","0","0","0","0"
"0","","","0","16621","0","0","0","0"
"0","","","0","16624","0","0","0","0"
"0","","","0","16634","0","0","0","0"
"0","","","0","20589","0","0","0","0"
"0","","","0","16635","0","0","0","0"
"0","","","0","16636","0","0","0","0"
"0","","","0","18158","0","0","0","0"
"0","","","0","18160","0","0","0","0"
"0","","","0","16628","0","0","0","0"
"0","","","0","16627","0","0","0","0"
"0","","","0","18351","0","0","0","0"
"0","","","0","11344","0","0","0","0"
"0","","","0","17489","0","0","0","0"
"0","","","0","20668","0","0","0","0"
"2.75","","","0","13830","63.3333","1","3","3.75"
"0","","","0","16622","0","0","0","0"
"0","","","0","15749","0","0","0","0"
"0","","","0","11346","0","0","0","0"
"4","","","0","17840","78.3333","1","3.75","4"
"0","","","0","18161","0","0","0","0"
"2.375","","","3.5","1384","57.500175","2","3.75","2.5"
"0","","","0","14611","0","0","0","0"
"0","","","0","14571","0","0","0","0"
"0","","","0","19775","0","0","0","0"
"0","","","0","17363","0","0","0","0"
"0","","","0","13305","0","0","0","0"
"0","","","0","20731","0","0","0","0"
"4","","","4.3125","1","80.500035","10","4.2","3.875"
"0","","","0","18725","0","0","0","0"
"0","","","0","15942","0","0","0","0"
"0","","","0","19141","0","0","0","0"
"0","","","0","19898","0","0","0","0"
"0","","","0","13308","0","0","0","0"
"4.75","","","4.5","12444","96.6667","1","5","4.75"
"0","","","0","8761","0","0","0","0"
