id,brewery_id,altmap,lat,lng,map,name,status
206,9965,,33.492116,-111.922723,phoenix,"Orange Table, The",Beer Bar
207,984,,33.465645,-111.928253,phoenix,Papago Brewing,Beer Bar
208,20654,phoenix,33.46478,-111.928007,mountain,Papago Brewing Company,Brewpub
209,18100,,34.540011,-112.47317,,Park Plaza Liquor and Deli,Beer Store
210,20206,phoenix,33.422948,-111.941693,mountain,Pedal Haus Brewery,Brewpub
211,18601,,0,0,,,
212,19219,phoenix,33.719575,-112.208231,mountain,Peoria Artisan Brewery,Brewpub
213,14332,phoenix,33.448209,-112.016979,mountain,"Phoenix Ale Brewery, The",Brewery
214,18913,,0,0,,,
215,18706,,32.723039,-114.617762,,Pint House,Beer Bar
216,20657,,0,0,,,
217,10349,,32.254994,-110.943385,,Plaza Liquors,Beer Store
218,1024,,0,0,,,
219,19472,,0,0,,,
220,20652,,0,0,,,
221,19324,,0,0,,,
222,3819,,34.542728,-112.468864,phoenix,Raven Cafe,Beer Bar
223,1065,,33.466255,-111.684097,phoenix,Red White and Brew- Mesa,Beer Bar
224,6571,,33.259199,-111.789513,phoenix,"Red, White and Brew - Chandler",Beer Bar
225,1100,phoenix,33.638237,-112.223,mountain,Rock Bottom - Glendale,Brewpub
226,10418,,33.426418,-111.9396,phoenix,Rula Bula,Beer Bar
227,19605,phoenix,33.456409,-112.395652,mountain,Saddle Mountain Brewing Co,Brewpub
228,6204,phoenix,33.303298,-111.842043,mountain,SanTan Brewing Company,Brewpub
229,19355,phoenix,33.582213,-111.892742,mountain,Scottsdale Beer Company,Brewpub
230,17662,,34.862467,-111.805229,,Sedona Wine and Beer Co,Beer Bar
231,18809,,0,0,,,
232,19655,,33.489626,-111.926755,,Sip Coffee and Beer House,Beer Bar
233,11383,phoenix,33.422099,-111.887574,mountain,Sleepy Dog Saloon and Brewery,Brewery
234,20650,phoenix,33.448664,-112.016724,mountain,Sonoran Brewing Company,Brewery
235,13753,,33.334525,-111.967666,phoenix,Spitfire Grill and Tavern,Beer Bar
236,20795,,0,0,,,
237,3815,,33.420383,-111.839836,phoenix,Sun Devil Liquors,Beer Store
