,Rank,city,state,latitude,longitude,July_2016,breweries_5,breweries_10,breweries_25,ratings_5,ratings_10,ratings_25,review_count_5,review_count_10,review_count_25,price_5,price_10,price_25,brew_per_100k_5,brew_per_100k_10,brew_per_100k_25,review_per_100k_5,review_per_100k_10,review_per_100k_25
32,33,Tucson,Arizona,32.2217429,-110.926479,530706,24,31,35,4.16987257176,4.13143917123,4.0990216967,116.291666667,112.387096774,102.514285714,1.66666666667,1.70967741935,1.68571428571,4.52227787136,5.84127558384,6.59498856241,21.9126346163,21.1769033654,19.3165869077
33,34,Fresno,California,36.7468422,-119.7725868,522053,9,18,27,3.75805478761,3.87742219405,3.86817128916,135.555555556,105.666666667,83.6666666667,1.66666666667,1.66666666667,1.62962962963,1.72396289266,3.44792578531,5.17188867797,25.9658608524,20.2406013693,16.026469854
34,35,Sacramento,California,38.5815719,-121.4943996,495234,22,29,75,4.15017700838,4.10956557908,4.10165742565,225.318181818,199.413793103,182.84,1.52272727273,1.43103448276,1.57666666667,4.44234442708,5.85581765388,15.1443560014,45.4973167873,40.266579658,36.919920684
37,36,Mesa,Arizona,33.4151843,-111.8314724,484587,8,37,70,4.11668429082,4.06377219846,4.07448597484,192.75,224.324324324,216.185714286,1.75,1.80873180873,1.79209837781,1.6508903458,7.63536784932,14.4452905257,39.7761392691,46.2918576694,44.6123635768
36,37,Kansas City,Missouri,39.0997265,-94.5785667,481420,23,28,49,4.03671648509,4.07478848257,3.93612068977,94.9565217391,88.3214285714,86.5510204082,1.64130434783,1.63392857143,1.75,4.77753313115,5.8161272901,10.1782227577,19.7242577664,18.3460239648,17.9782768494
39,38,Atlanta,Georgia,33.7489954,-84.3879824,472522,22,44,67,3.93335749506,3.94022632646,4.02960860292,228.409090909,181.068181818,145.656716418,1.7131661442,1.6544599601,1.65367519768,4.65586787493,9.31173574987,14.1792339828,48.3382976685,38.3195241318,30.8253830336
35,39,Long Beach,California,33.7700504,-118.1937395,470130,15,36,137,4.04501090655,4.1507596918,4.18900935044,459.933333333,355.472222222,304.109489051,1.93333333333,1.63888888889,1.58792302588,3.19060685342,7.65745644822,29.1408759279,97.8310963634,75.6114738949,64.6862546638
40,40,Colorado Springs,Colorado,38.8338816,-104.8213634,465101,22,33,46,4.01603399996,3.91313307216,3.89702770683,125.954545455,111.060606061,97.5,1.61876832845,1.63147605083,1.59677419355,4.7301553856,7.09523307841,9.89032489717,27.0811168874,23.8788147221,20.9631886407
42,41,Raleigh,North Carolina,35.7795897,-78.6381787,458880,19,35,87,4.0544293501,4.10306955052,4.05701283929,119.421052632,87.6,87.6436781609,1.47368421053,1.45806451613,1.55545635501,4.14051603905,7.62726638773,18.9592050209,26.0244623064,19.089958159,19.0994765867
43,42,Miami,Florida,25.7616798,-80.1917902,453579,16,23,39,4.27612970035,4.31072224095,4.17285668268,140.9375,135.52173913,130.051282051,1.68382352941,1.64961636829,1.67405731523,3.52750017086,5.07078149562,8.59828166648,31.0723159582,29.8783098711,28.6722449786
38,43,Virginia Beach,Virginia,36.8529263,-75.977985,452602,8,20,45,4.01752797081,4.00699563625,3.93466316996,80.0,88.45,73.7555555556,1.7,1.58,1.70222222222,1.76755736828,4.41889342071,9.9425101966,17.6755736828,19.5425561531,16.2958969593
41,44,Omaha,Nebraska,41.2523634,-95.9979883,446970,18,30,37,4.00105501939,3.97558256731,4.01418645862,104.555555556,75.0666666667,65.7297297297,1.72222222222,1.73333333333,1.7027027027,4.02711591382,6.71185985637,8.27796048952,23.3920745364,16.794564885,14.7056244781
44,45,Oakland,California,37.8043637,-122.2711137,420005,23,63,126,4.28229902948,4.21205679397,4.12682568145,386.869565217,353.142857143,302.428571429,1.5016722408,1.69108669109,1.74236874237,5.47612528422,14.9998214307,29.9996428614,92.1107046862,84.0806316932,72.0059455075
